tmc,tstamp,speed,cvalue
129-04447,2020-06-26 00:00:00,71.85,64.60
129-04447,2020-06-26 00:10:00,73.26,68.20
129-04447,2020-06-26 00:20:00,73.19,88.40
129-04447,2020-06-26 00:30:00,70.69,76.90
129-04447,2020-06-26 00:40:00,78.16,59.90
129-04447,2020-06-26 00:50:00,73.62,94.00
129-04447,2020-06-26 01:00:00,57.00,2.00
129-04447,2020-06-26 01:10:00,59.37,34.70
129-04447,2020-06-26 01:20:00,66.55,92.43
129-04447,2020-06-26 01:30:00,69.08,77.10
129-04447,2020-06-26 01:40:00,74.26,32.10
129-04447,2020-06-26 01:50:00,64.12,88.63
129-04447,2020-06-26 02:00:00,69.22,76.80
129-04447,2020-06-26 02:10:00,67.10,90.90
129-04447,2020-06-26 02:20:00,63.28,56.70
129-04447,2020-06-26 02:30:00,69.02,43.75
129-04447,2020-06-26 02:40:00,71.44,64.22
129-04447,2020-06-26 02:50:00,,
129-04447,2020-06-26 03:00:00,,
129-04447,2020-06-26 03:10:00,,
129-04447,2020-06-26 03:20:00,63.00,37.50
129-04447,2020-06-26 03:30:00,68.48,59.70
129-04447,2020-06-26 03:40:00,72.05,68.30
129-04447,2020-06-26 03:50:00,77.26,35.80
129-04447,2020-06-26 04:00:00,66.46,70.80
129-04447,2020-06-26 04:10:00,69.09,83.00
129-04447,2020-06-26 04:20:00,70.57,82.20
129-04447,2020-06-26 04:30:00,66.18,69.70
129-04447,2020-06-26 04:40:00,69.22,84.30
129-04447,2020-06-26 04:50:00,80.16,13.90
129-04447,2020-06-26 05:00:00,69.28,64.56
129-04447,2020-06-26 05:10:00,67.59,83.20
129-04447,2020-06-26 05:20:00,70.15,94.70
129-04447,2020-06-26 05:30:00,73.97,90.20
129-04447,2020-06-26 05:40:00,71.27,98.80
129-04447,2020-06-26 05:50:00,75.50,82.30
129-04447,2020-06-26 06:00:00,74.76,89.90
129-04447,2020-06-26 06:10:00,74.39,99.80
129-04447,2020-06-26 06:20:00,73.28,100.00
129-04447,2020-06-26 06:30:00,74.48,97.30
129-04447,2020-06-26 06:40:00,71.69,99.00
129-04447,2020-06-26 06:50:00,69.23,99.00
129-04447,2020-06-26 07:00:00,75.18,94.60
129-04447,2020-06-26 07:10:00,71.78,100.00
129-04447,2020-06-26 07:20:00,72.06,94.80
129-04447,2020-06-26 07:30:00,71.69,100.00
129-04447,2020-06-26 07:40:00,69.48,100.00
129-04447,2020-06-26 07:50:00,73.84,100.00
129-04447,2020-06-26 08:00:00,71.98,100.00
129-04447,2020-06-26 08:10:00,71.82,99.00
129-04447,2020-06-26 08:20:00,71.86,100.00
129-04447,2020-06-26 08:30:00,72.46,100.00
129-04447,2020-06-26 08:40:00,70.06,100.00
129-04447,2020-06-26 08:50:00,70.29,100.00
129-04447,2020-06-26 09:00:00,71.66,100.00
129-04447,2020-06-26 09:10:00,68.79,100.00
129-04447,2020-06-26 09:20:00,71.31,100.00
129-04447,2020-06-26 09:30:00,71.88,100.00
129-04447,2020-06-26 09:40:00,69.19,100.00
129-04447,2020-06-26 09:50:00,69.89,100.00
129-04447,2020-06-26 10:00:00,69.42,100.00
129-04447,2020-06-26 10:10:00,70.79,100.00
129-04447,2020-06-26 10:20:00,68.10,100.00
129-04447,2020-06-26 10:30:00,70.47,100.00
129-04447,2020-06-26 10:40:00,71.18,100.00
129-04447,2020-06-26 10:50:00,69.79,100.00
129-04447,2020-06-26 11:00:00,72.49,100.00
129-04447,2020-06-26 11:10:00,71.59,100.00
129-04447,2020-06-26 11:20:00,70.29,100.00
129-04447,2020-06-26 11:30:00,68.99,100.00
129-04447,2020-06-26 11:40:00,68.99,100.00
129-04447,2020-06-26 11:50:00,72.44,97.70
129-04447,2020-06-26 12:00:00,73.57,85.60
129-04447,2020-06-26 12:10:00,70.55,99.50
129-04447,2020-06-26 12:20:00,68.19,100.00
129-04447,2020-06-26 12:30:00,70.30,100.00
129-04447,2020-06-26 12:40:00,69.99,100.00
129-04447,2020-06-26 12:50:00,70.75,100.00
129-04447,2020-06-26 13:00:00,72.38,99.40
129-04447,2020-06-26 13:10:00,72.46,95.00
129-04447,2020-06-26 13:20:00,72.84,96.30
129-04447,2020-06-26 13:30:00,68.78,100.00
129-04447,2020-06-26 13:40:00,66.59,100.00
129-04447,2020-06-26 13:50:00,68.88,100.00
129-04447,2020-06-26 14:00:00,68.19,100.00
129-04447,2020-06-26 14:10:00,68.95,100.00
129-04447,2020-06-26 14:20:00,72.58,98.60
129-04447,2020-06-26 14:30:00,68.92,99.50
129-04447,2020-06-26 14:40:00,67.48,100.00
129-04447,2020-06-26 14:50:00,66.89,100.00
129-04447,2020-06-26 15:00:00,68.20,100.00
129-04447,2020-06-26 15:10:00,67.29,100.00
129-04447,2020-06-26 15:20:00,67.09,100.00
129-04447,2020-06-26 15:30:00,66.18,100.00
129-04447,2020-06-26 15:40:00,66.39,100.00
129-04447,2020-06-26 15:50:00,66.40,100.00
129-04447,2020-06-26 16:00:00,66.00,100.00
129-04447,2020-06-26 16:10:00,66.30,100.00
129-04447,2020-06-26 16:20:00,66.39,100.00
129-04447,2020-06-26 16:30:00,68.19,100.00
129-04447,2020-06-26 16:40:00,68.08,100.00
129-04447,2020-06-26 16:50:00,68.79,100.00
129-04447,2020-06-26 17:00:00,68.10,100.00
129-04447,2020-06-26 17:10:00,67.19,100.00
129-04447,2020-06-26 17:20:00,67.87,100.00
129-04447,2020-06-26 17:30:00,69.79,100.00
129-04447,2020-06-26 17:40:00,73.76,100.00
129-04447,2020-06-26 17:50:00,71.19,100.00
129-04447,2020-06-26 18:00:00,70.99,100.00
129-04447,2020-06-26 18:10:00,69.66,100.00
129-04447,2020-06-26 18:20:00,70.18,100.00
129-04447,2020-06-26 18:30:00,68.29,100.00
129-04447,2020-06-26 18:40:00,69.58,100.00
129-04447,2020-06-26 18:50:00,69.48,100.00
129-04447,2020-06-26 19:00:00,73.49,100.00
129-04447,2020-06-26 19:10:00,71.19,100.00
129-04447,2020-06-26 19:20:00,72.39,100.00
